sample,group,missing_n,missing_p,total_loci
Pv13,BS,4344,0.4344,10000
Pv62,BS,4247,0.4247,10000
Pv68,BS,4149,0.4149,10000
Pv73,BS,4574,0.4574,10000
Pv79,BS,3992,0.3992,10000
Pv126,GS,4618,0.4618,10000
Pv14,GS,4844,0.4844,10000
Pv27,GS,4521,0.4521,10000
Pv28,GS,3985,0.3985,10000
Pv78,GS,5077,0.5077,10000
Pb1Rd,OG,6090,0.609,10000
Pb2Jp,OG,6270,0.627,10000
Pb2Scx,OG,6306,0.6306,10000
Pv120,WA,4707,0.4707,10000
Pv2,WA,3789,0.3789,10000
Pv31,WA,4174,0.4174,10000
Pv56,WA,4574,0.4574,10000
Pv93,WA,4494,0.4494,10000
