sample,read_depth,heterozygosity,heterozygotes,homozygotes,homozygotes_ref,homozygotes_alt,missing_p,missing_n,non_missing,total_loci,theta_total,pi_total,group,n_ind,theta_w,pi
Pv13,52.0267,0.188649222065064,1067,4589,2230,2359,0.4344,4344,5656,10000,0.322542823815125,0.306572424831927,BS,5,0.184276094939829,0.169230844444444
Pv62,50.3067,0.213801494872241,1230,4523,2150,2373,0.4247,4247,5753,10000,0.322542823815125,0.306572424831927,BS,5,0.184276094939829,0.169230844444444
Pv68,73.5627,0.219278755768245,1283,4568,2182,2386,0.4149,4149,5851,10000,0.322542823815125,0.306572424831927,BS,5,0.184276094939829,0.169230844444444
Pv73,55.7203,0.196830077405087,1068,4358,2075,2283,0.4574,4574,5426,10000,0.322542823815125,0.306572424831927,BS,5,0.184276094939829,0.169230844444444
Pv79,77.6615,0.215712383488682,1296,4712,2252,2460,0.3992,3992,6008,10000,0.322542823815125,0.306572424831927,BS,5,0.184276094939829,0.169230844444444
Pv126,35.438,0.206243032329989,1110,4272,2031,2241,0.4618,4618,5382,10000,0.322542823815125,0.306572424831927,GS,5,0.191650025122347,0.175146785581568
Pv14,35.2015,0.179014740108611,923,4233,2011,2222,0.4844,4844,5156,10000,0.322542823815125,0.306572424831927,GS,5,0.191650025122347,0.175146785581568
Pv27,41.4857,0.222485855083044,1219,4260,1994,2266,0.4521,4521,5479,10000,0.322542823815125,0.306572424831927,GS,5,0.191650025122347,0.175146785581568
Pv28,31.4354,0.232252701579385,1397,4618,2219,2399,0.3985,3985,6015,10000,0.322542823815125,0.306572424831927,GS,5,0.191650025122347,0.175146785581568
Pv78,34.0185,0.21084704448507,1038,3885,1859,2026,0.5077,5077,4923,10000,0.322542823815125,0.306572424831927,GS,5,0.191650025122347,0.175146785581568
Pb1Rd,35.4843,0.195140664961637,763,3147,1536,1611,0.609,6090,3910,10000,0.322542823815125,0.306572424831927,OG,3,0.171210131005951,0.149855258162491
Pb2Jp,40.0022,0.181769436997319,678,3052,1468,1584,0.627,6270,3730,10000,0.322542823815125,0.306572424831927,OG,3,0.171210131005951,0.149855258162491
Pb2Scx,50.4469,0.18814293448836,695,2999,1430,1569,0.6306,6306,3694,10000,0.322542823815125,0.306572424831927,OG,3,0.171210131005951,0.149855258162491
Pv120,17.5311,0.213678443226903,1131,4162,1964,2198,0.4707,4707,5293,10000,0.322542823815125,0.306572424831927,WA,5,0.211314591132418,0.189739232576351
Pv2,53.8794,0.215102237964901,1336,4875,2367,2508,0.3789,3789,6211,10000,0.322542823815125,0.306572424831927,WA,5,0.211314591132418,0.189739232576351
Pv31,34.0896,0.204771713010642,1193,4633,2233,2400,0.4174,4174,5826,10000,0.322542823815125,0.306572424831927,WA,5,0.211314591132418,0.189739232576351
Pv56,23.839,0.200331736085514,1087,4339,2079,2260,0.4574,4574,5426,10000,0.322542823815125,0.306572424831927,WA,5,0.211314591132418,0.189739232576351
Pv93,57.6633,0.202143116600073,1113,4393,2079,2314,0.4494,4494,5506,10000,0.322542823815125,0.306572424831927,WA,5,0.211314591132418,0.189739232576351
